sod			sTEC			lon			lat			ele
32370.0		-0.00257401426312		-156.853769809		8.39177909725		10.0193400424
32670.0		-0.0910486708228		-156.56572943		9.29969301641		11.8445595896
33330.0		-0.135901501676		-156.0766872		11.0332116188		16.0320244253
33390.0		0.176733145904		-156.040619179		11.1731630742		16.4241960792
33420.0		0.210805968661		-156.023047553		11.2422710075		16.6208778223
33450.0		0.0133903964362		-156.005718371		11.3112857021		16.8181606342
33540.0		0.0751648042616		-155.955657377		11.5120833853		17.4125809871
33600.0		0.0308291322653		-155.923628391		11.643577687		17.8112549183
33870.0		-0.0865910842577		-155.792561101		12.2038555968		19.627475261
33900.0		-0.152741753913		-155.779165953		12.2643707973		19.8315666959
33960.0		-0.14228728946		-155.753201495		12.3809887024		20.2409498552
34020.0		-0.0970080087725		-155.728105149		12.4958481095		20.6521459876
34170.0		-0.0504792157235		-155.669074995		12.7731554432		21.6880177676
34200.0		-0.0337428688767		-155.657870333		12.8272458102		21.8965194642
34230.0		-0.0176289893545		-155.646864433		12.8812265962		22.1053274236
34290.0		0.00586451751719		-155.625438436		12.9862461603		22.5244939814
34350.0		0.0242081653218		-155.60475586		13.0895455016		22.9453098674
34380.0		0.0466877180438		-155.594683442		13.1403919129		23.1563927848
34410.0		0.0362033910409		-155.584782903		13.1911399041		23.3678732046
34440.0		0.00694103624187		-155.575054586		13.2417869327		23.579734208
34470.0		-0.0158635895826		-155.565505151		13.291031842		23.7921103444
34500.0		-0.0217463479206		-155.556118121		13.3401818896		24.0048988813
34530.0		0.00383676946609		-155.546904719		13.3892267194		24.2179795585
34560.0		0.0247501258729		-155.537837606		13.4381839102		24.4315993333
34590.0		0.0480992198101		-155.528941368		13.4857469071		24.6456570286
34620.0		0.0822230097913		-155.520210076		13.5332080182		24.8600142918
34650.0		0.125972604109		-155.511627233		13.5792946475		25.0749325524
34680.0		0.1727626841		-155.503185653		13.6265771354		25.290225357
34710.0		0.164635668964		-155.49490437		13.6724760157		25.505903348
34740.0		0.146397985387		-155.486772248		13.7182800025		25.7219483055
34770.0		0.122510675864		-155.478774572		13.7639981616		25.938496056
34800.0		0.10919420546		-155.470923322		13.8083467419		26.1554426836
34830.0		0.101106143862		-155.463222676		13.8525970522		26.3726667975
34860.0		0.0751608555683		-155.455647103		13.8967666883		26.5904184485
34890.0		0.0299388819873		-155.448205489		13.9408468682		26.8085946356
34920.0		-0.0284714168305		-155.440905963		13.983564821		27.0270559463
34950.0		-0.0512005407646		-155.433728374		14.0274651878		27.2460667408
34980.0		-0.0789630123524		-155.426680117		14.0700135414		27.4654368672
35010.0		-0.130460882476		-155.419753788		14.1112201363		27.685179219
35040.0		-0.154463670745		-155.412966064		14.1535880438		27.90527425
35070.0		-0.136303118262		-155.40628387		14.1946277904		28.1258589623
35100.0		-0.105299242653		-155.399738371		14.2368222187		28.3468283026
35130.0		-0.084106663616		-155.393298263		14.2764397547		28.5680598141
35160.0		-0.0663267600708		-155.386980777		14.3172196038		28.789806487
35190.0		-0.0505398671376		-155.380780601		14.3579125496		29.0119635235
35220.0		-0.0356362112398		-155.374688967		14.397281076		29.2343905358
35250.0		-0.0187107678504		-155.368698169		14.4365771983		29.4573546354
35280.0		-0.00608557113349		-155.36282421		14.4757858549		29.6806620414
35310.0		-0.0100221666742		-155.357064637		14.5149072359		29.9043279201
35340.0		-0.02203921828		-155.35139396		14.5527271828		30.1283313755
35370.0		-0.0264473157182		-155.345822482		14.5904738682		30.3528104729
35400.0		-0.0259715209124		-155.340358285		14.6281387191		30.5776590728
35430.0		-0.0105290574732		-155.335010655		14.665711968		30.8027537239
35460.0		0.00346802626996		-155.329757094		14.7032111829		31.0283501813
35490.0		-0.00497010448632		-155.324605594		14.7406277953		31.2543418832
35520.0		0.00306002650066		-155.319531733		14.7767614894		31.4805875605
35550.0		0.0140759871149		-155.314544497		14.8128276354		31.7073568731
35580.0		0.0168954779983		-155.309659109		14.8488112568		31.9344524968
35610.0		0.0343870646258		-155.304873119		14.8847127911		32.1618918853
35640.0		0.0424216325455		-155.300146605		14.9193558694		32.3896527712
35670.0		0.0504624239109		-155.295547491		14.9551013757		32.6178741579
35700.0		0.0547028890012		-155.291000658		14.9895968294		32.8464488767
35730.0		0.0594617939001		-155.28655556		15.024006616		33.0752525621
35760.0		0.0593891707022		-155.282191001		15.0583482914		33.3045435345
35790.0		0.0392224378983		-155.277914602		15.0926133931		33.5342135095
35820.0		0.0197506429179		-155.273687501		15.125640698		33.764120439
35850.0		-0.00435511288456		-155.269584262		15.159753469		33.9945363024
35880.0		-0.038238916339		-155.265520377		15.1926399435		34.2252603369
35910.0		-0.060619699722		-155.26154226		15.2254512325		34.4563122892
35940.0		-0.0524936982725		-155.257650758		15.2581849678		34.6876685012
35970.0		-0.0202136266333		-155.253834542		15.2908502408		34.9194687737
